time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2009-12-31T09:57:29.720Z,27.319,91.51,10.0,5.5,mb,205.0,37.4,,0.89,us,usp000h5j5,2017-04-26T18:09:55.932Z,Bhutan,earthquake,,,,118.0,reviewed,us,us
2009-12-29T13:33:22.870Z,35.017,73.005,63.8,4.0,mb,40.0,95.8,,0.94,us,usp000h5fh,2014-11-07T01:40:19.294Z,northwestern Kashmir,earthquake,,8.6,,7.0,reviewed,us,us
2009-12-29T09:01:55.310Z,24.357,94.807,124.8,5.6,mwb,206.0,17.3,,0.77,us,usp000h5f4,2016-11-10T02:22:03.905Z,Myanmar-India border region,earthquake,,,,,reviewed,us,us
2009-12-28T02:15:04.870Z,30.686,83.769,10.0,4.4,mb,50.0,40.6,,1.08,us,usp000h5e0,2014-11-07T01:40:19.031Z,western Xizang,earthquake,,,,9.0,reviewed,us,us
2009-12-26T00:23:38.570Z,14.001,92.862,42.6,5.0,mb,117.0,68.1,,0.82,us,usp000h5c9,2014-11-07T01:40:18.641Z,"Andaman Islands, India region",earthquake,,5.7,,56.0,reviewed,us,us
2009-12-25T05:51:37.200Z,36.275,71.244,102.6,4.7,mb,21.0,114.2,,0.86,us,usp000h5bf,2014-11-07T01:40:18.522Z,"Hindu Kush region, Afghanistan",earthquake,,14.6,,13.0,reviewed,us,us
2009-12-24T01:09:59.920Z,35.46,71.086,121.5,4.6,mb,17.0,119.3,,0.81,us,usp000h5aa,2014-11-07T01:40:18.318Z,"Hindu Kush region, Afghanistan",earthquake,,19.2,,7.0,reviewed,us,us
2009-12-23T15:23:06.410Z,7.3,92.502,73.2,4.5,mb,17.0,205.0,,1.3,us,usp000h59s,2014-11-07T01:40:18.148Z,"Nicobar Islands, India region",earthquake,,23.5,,9.0,reviewed,us,us
2009-12-21T23:15:49.940Z,36.243,70.863,137.4,4.2,mb,25.0,109.1,,0.82,us,usp000h58j,2014-11-07T01:40:17.903Z,"Hindu Kush region, Afghanistan",earthquake,,10.6,,5.0,reviewed,us,us
2009-12-19T06:18:14.130Z,23.729,94.428,74.2,4.5,mb,46.0,95.3,,0.92,us,usp000h564,2014-11-07T01:40:17.449Z,Myanmar,earthquake,,6.0,,9.0,reviewed,us,us
2009-12-19T03:28:45.200Z,37.061,72.781,150.1,4.4,mb,46.0,97.1,,0.84,us,usp000h55z,2014-11-07T01:40:17.429Z,"Hindu Kush region, Afghanistan",earthquake,,7.2,,17.0,reviewed,us,us
2009-12-18T23:31:51.760Z,36.397,71.721,103.4,4.6,mb,33.0,102.7,,1.07,us,usp000h55t,2014-11-07T01:40:17.411Z,Afghanistan-Tajikistan-Pakistan region,earthquake,,9.3,,8.0,reviewed,us,us
2009-12-18T05:19:30.080Z,32.641,92.841,10.0,4.6,mb,42.0,66.2,,1.37,us,usp000h551,2014-11-07T01:40:17.268Z,Xizang-Qinghai border region,earthquake,,,,12.0,reviewed,us,us
2009-12-16T06:13:01.520Z,29.518,81.471,35.0,4.3,mb,56.0,80.9,,1.34,us,usp000h536,2014-11-07T01:40:16.850Z,Nepal,earthquake,,,,9.0,reviewed,us,us
2009-12-16T05:29:11.110Z,13.909,92.942,46.4,4.3,mb,24.0,131.5,,0.63,us,usp000h534,2014-11-07T01:40:16.843Z,"Andaman Islands, India region",earthquake,,11.6,,2.0,reviewed,us,us
2009-12-13T14:41:55.800Z,21.998,91.822,10.0,4.9,mwc,130.0,75.4,,1.05,us,usp000h50e,2016-11-10T02:21:35.791Z,near the coast of Bangladesh,earthquake,,,,,reviewed,us,gcmt
2009-12-13T14:24:58.780Z,21.999,91.811,17.3,4.6,mb,46.0,108.2,,0.85,us,usp000h50d,2014-11-07T01:40:16.402Z,near the coast of Bangladesh,earthquake,,11.6,,7.0,reviewed,us,us
2009-12-13T08:12:04.310Z,36.174,71.297,111.6,4.4,mb,19.0,111.8,,0.79,us,usp000h504,2014-11-07T01:40:16.348Z,"Hindu Kush region, Afghanistan",earthquake,,11.9,,6.0,reviewed,us,us
2009-12-12T21:55:02.120Z,17.123,73.45,10.0,4.3,mb,14.0,208.0,,0.83,us,usp000h4zx,2014-11-07T01:40:16.331Z,"Maharashtra, India",earthquake,,,,8.0,reviewed,us,us
2009-12-12T16:25:41.770Z,17.11,73.69,10.0,4.4,mb,22.0,133.7,,0.97,us,usp000h4zp,2014-11-07T01:40:16.089Z,"Maharashtra, India",earthquake,,,,5.0,reviewed,us,us
2009-12-12T11:51:25.780Z,17.134,73.773,10.0,4.8,mwc,117.0,73.1,,0.93,us,usp000h4zh,2017-04-26T18:09:48.994Z,"Maharashtra, India",earthquake,,,,,reviewed,us,gcmt
2009-12-11T16:22:17.980Z,21.096,92.529,34.5,4.1,mb,41.0,117.8,,0.68,us,usp000h4yt,2014-11-07T01:40:15.873Z,Myanmar-Bangladesh border region,earthquake,,,,4.0,reviewed,us,us
2009-12-09T21:55:53.620Z,23.481,94.538,35.0,4.5,mb,38.0,96.9,,0.75,us,usp000h4wx,2014-11-07T01:40:15.458Z,Myanmar,earthquake,,,,7.0,reviewed,us,us
2009-12-07T22:16:34.310Z,14.107,93.182,27.7,4.1,mb,30.0,77.7,,0.85,us,usp000h4uz,2014-11-07T01:40:14.913Z,"Andaman Islands, India region",earthquake,,17.4,,8.0,reviewed,us,us
2009-12-06T11:16:25.970Z,33.197,88.568,54.7,4.8,mb,92.0,43.9,,0.85,us,usp000h4t6,2014-11-07T01:40:14.538Z,western Xizang,earthquake,,6.4,,28.0,reviewed,us,us
2009-12-06T04:33:16.880Z,35.778,77.352,72.2,5.2,mwc,202.0,33.1,,0.81,us,usp000h4sz,2016-11-10T02:21:16.891Z,Kashmir-Xinjiang border region,earthquake,,4.9,,,reviewed,us,gcmt
2009-12-01T11:40:45.670Z,13.622,92.793,33.6,5.3,mwc,191.0,42.9,,0.78,us,usp000h4mx,2016-11-10T02:21:04.195Z,"Andaman Islands, India region",earthquake,,8.0,,,reviewed,us,gcmt
2009-12-01T11:23:28.430Z,27.272,91.455,10.0,4.2,mb,19.0,174.2,,1.12,us,usp000h4mw,2014-11-07T01:40:11.989Z,Bhutan,earthquake,,,,3.0,reviewed,us,us
2009-12-01T04:16:57.340Z,7.628,94.566,56.2,4.4,mb,35.0,88.5,,1.02,us,usp000h4mg,2014-11-07T01:40:11.656Z,"Nicobar Islands, India region",earthquake,,12.6,,6.0,reviewed,us,us
2009-11-30T12:38:49.270Z,27.352,91.435,10.0,4.4,mb,41.0,124.4,,0.96,us,usp000h4kw,2014-11-07T01:40:09.841Z,Bhutan,earthquake,,,,8.0,reviewed,us,us
2009-11-26T07:28:52.820Z,24.956,96.416,36.8,4.3,mb,29.0,124.3,,0.98,us,usp000h4eh,2014-11-07T01:40:08.869Z,Myanmar,earthquake,,11.5,,7.0,reviewed,us,us
2009-11-26T06:13:02.720Z,13.627,92.784,39.2,5.1,mwc,177.0,55.0,,0.82,us,usp000h4ed,2016-11-10T02:20:50.031Z,"Andaman Islands, India region",earthquake,,5.0,,,reviewed,us,gcmt
